PLAYER,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Jason Smith,Nor,PF,27,24,28.1,57.6,16.9,0.074,38,0.763,222,0.482,0,0,0.509,10.1,6.3,12.5,0.8,4.7,0.42,1.13,5.3
Josh Smith,Det,SF,28,27,35.7,73.4,22.9,0.132,94,0.585,285,0.467,114,0.263,0.467,15.2,6.5,10.4,3.4,15.2,1.52,1.44,7.8
Tony Snell,Chi,SG,22,20,16.9,34.6,14.5,0.138,13,0.692,44,0.477,44,0.341,0.512,4.8,1.4,4.4,1.1,10.4,0.3,0.2,4.6
Marreese Speights,Gol,C,26,26,11.4,23.5,24.3,0.105,31,0.806,120,0.35,12,0.333,0.415,4.7,3.5,17.1,0.5,6.4,0.08,0.23,7.1
Tiago Splitter,San,C,29,21,20.1,41.9,17.4,0.148,54,0.667,114,0.588,0,0,0.617,8.1,6.3,17.7,1,7.1,0.38,0.43,7.4
Lance Stephenson,Ind,SG,23,25,34.9,72.4,18.6,0.178,54,0.667,194,0.536,73,0.356,0.554,12.9,6.6,10.7,4.9,23.5,0.76,0.12,8.6
Greg Stiemsma,Nor,C,28,8,15.1,29.8,9.1,0.363,4,0.5,14,0.5,0,0,0.508,2,4.6,17.3,0.4,3.4,0.13,1,4.1
Julyan Stone,Tor,SG,25,12,7.2,14.5,10,0.155,3,0.667,8,0.625,7,0.286,0.551,1.5,0.6,4.7,0.8,17.7,0.08,0,5
Amar'e Stoudemire,Nyk,C,31,19,17.7,36.3,21.8,0.146,37,0.568,118,0.534,0,0,0.547,7.7,3.6,12.1,0.5,4.8,0.58,0.37,5.4
Rodney Stuckey,Det,SG,27,23,27.5,56.6,25,0.118,102,0.833,244,0.48,32,0.313,0.544,15.2,2.4,4.9,2.2,13.6,0.83,0.22,6.3
Jared Sullinger,Bos,PF,21,25,26.8,55.9,24.8,0.112,66,0.773,229,0.524,67,0.313,0.545,14.2,7.1,15.3,1.8,12.2,0.44,0.52,8.5
Jeff Taylor,Cha,SF,24,25,25,51.8,19.1,0.091,47,0.553,151,0.424,67,0.269,0.436,8.3,2.4,5.3,0.9,6.2,0.52,0.2,4.2
Tyshawn Taylor,Bro,PG,23,17,14.5,29.8,23.2,0.219,28,0.786,72,0.361,12,0.25,0.431,4.9,0.8,3.3,2.1,23.4,0.65,0.06,5.6
